game_id,season,week,play_id,game_play_number,sequence_number,period,clock_minutes,clock_seconds,pos_team_id,home_team_id,away_team_id,home_score_start,away_score_start,yards_to_endzone_start,play_type,orig_play_type,status_completed
401864494,2026,1,401864494372,80,77,2,0,45,30,30,23,21,0,17,Timeout,Timeout,true
401864494,2026,1,401864494375,81,79,2,0,30,30,30,23,21,0,4,Rushing Touchdown,Rushing Touchdown,true
401864494,2026,1,401864494382,82,81,2,0,30,23,30,23,28,0,65,Kickoff,Kickoff,true
401864494,2026,1,401864494385,83,82,2,0,16,23,30,23,28,0,75,Rush,Rush,true
401864494,2026,1,401864494389,84,83,2,0,1,23,30,23,28,0,74,Rush,Rush,true
401864494,2026,1,401864494400,86,84,3,15,0,23,30,23,28,0,65,Kickoff,Kickoff,true
401864494,2026,1,401864494405,87,85,3,14,54,23,30,23,28,0,75,Rush,Rush,true
401864494,2026,1,401864494409,88,86,3,14,12,23,30,23,28,0,76,Pass Reception,Pass Reception,true
401864494,2026,1,401864494414,89,87,3,13,35,23,30,23,28,0,75,Pass Reception,Pass Reception,true
401864494,2026,1,401864494419,90,88,3,13,0,23,30,23,28,0,69,Punt,Punt,true
401864494,2026,1,401864494424,91,89,3,13,0,30,30,23,28,0,73,Penalty,Penalty,true
401864494,2026,1,401864494429,92,90,3,12,31,30,30,23,28,0,83,Pass Reception,Pass Reception,true
401864494,2026,1,401864494434,93,91,3,11,53,30,30,23,28,0,73,Pass Reception,Pass Reception,true
401864494,2026,1,401864494439,94,92,3,11,11,30,30,23,28,0,67,Rush,Rush,true
401864494,2026,1,401864494443,95,93,3,10,32,30,30,23,28,0,65,Punt,Punt,true
401864494,2026,1,401864494448,96,94,3,10,16,23,30,23,28,0,75,Pass Reception,Pass Reception,true
401864494,2026,1,401864494487,97,95,3,9,55,23,30,23,28,0,33,Rush,Rush,true
401864494,2026,1,401864494458,98,96,3,9,31,23,30,23,28,0,21,Pass Incompletion,Pass Incompletion,true
401864494,2026,1,401864494462,99,97,3,9,26,23,30,23,28,0,21,Rush,Rush,true
401864494,2026,1,401864494466,100,98,3,8,57,23,30,23,28,0,13,Pass Reception,Pass Reception,true
401864494,2026,1,401864494471,101,99,3,8,40,23,30,23,28,0,6,Rush,Rush,true
401864494,2026,1,401864494475,102,100,3,8,0,23,30,23,28,0,5,Rush,Rush,true
401864494,2026,1,401864494479,103,101,3,7,18,23,30,23,28,0,6,Pass Incompletion,Pass Incompletion,true
401864494,2026,1,401864494482,104,102,3,7,15,23,30,23,28,0,6,Field Goal Good,Field Goal Good,true
401864494,2026,1,401864494485,105,103,3,7,9,30,30,23,28,3,65,Kickoff,Kickoff,true
401864494,2026,1,401864494494,106,104,3,6,59,30,30,23,28,3,74,Pass Reception,Pass Reception,true
401864494,2026,1,401864494499,107,105,3,6,25,30,30,23,28,3,68,Rush,Rush,true
401864494,2026,1,401864494503,108,106,3,5,48,30,30,23,28,3,66,Pass Reception,Pass Reception,true
401864494,2026,1,401864494508,109,107,3,5,7,30,30,23,28,3,54,Pass Reception,Pass Reception,true
401864494,2026,1,401864494513,110,108,3,4,37,30,30,23,28,3,29,Pass Incompletion,Pass Incompletion,true
401864494,2026,1,401864494516,111,109,3,4,32,30,30,23,28,3,29,Pass Reception,Pass Reception,true
401864494,2026,1,401864494521,112,110,3,3,50,30,30,23,28,3,20,Rush,Rush,true
401864494,2026,1,401864494525,113,111,3,3,4,30,30,23,28,3,17,Pass Reception,Pass Reception,true
401864494,2026,1,401864494530,114,112,3,2,28,30,30,23,28,3,14,Passing Touchdown,Passing Touchdown,true
401864494,2026,1,401864494538,115,114,3,2,22,23,30,23,35,3,65,Kickoff,Kickoff,true
401864494,2026,1,401864494543,116,115,3,2,12,23,30,23,35,3,68,Pass Reception,Pass Reception,true
401864494,2026,1,401864494548,117,116,3,1,33,23,30,23,35,3,55,Pass Reception,Pass Reception,true
401864494,2026,1,401864494553,118,117,3,0,51,23,30,23,35,3,50,Pass Reception,Pass Reception,true
401864494,2026,1,401864494558,119,118,3,0,14,23,30,23,35,3,37,Pass Reception,Pass Reception,true
